t000001 S24A_57_S0261
t000918 SGMM_245_S0483
t000919 SGMT_1366_S0278
t000920 SGMT_1769_S0278
t000921 SGMT_2217_S0278
t000922 SGMT_2241_S0278
t000923 SGSY_2_S0262
t000924 SGSY_14_S0262
t000925 SGSY_64_S0262
t000926 SGSY_68_S0262
t000927 SGSY_78_S0262
t000928 SGSY_80_S0262
t000929 SGSY_88_S0262
t000930 SGSY_102_S0262
t000931 SGSY_158_S0262
t000932 SGSY_186_S0262
t000933 SGSY_223_S0262
t000934 SGSY_369_S0262
t000935 SGSY_383_S0262
t000936 SGSY_391_S0262
t000937 SGSY_397_S0262
t000938 SGSY_425_S0262
t000939 SGSY_427_S0262
t000940 SGSY_435_S0262
t000941 SGSY_447_S0262
t000942 SGSY_473_S0262
t000943 SGYW_505_S0070
t000944 SH2A_248_S0037
t000945 SH2P_825_S0192
t000946 SH2P_977_S0192
t000947 SH5J_423_S0104
t000948 SH5J_433_S0104
t000949 SH5J_485_S0104
t000950 SHAZ_1245_S0338
t000951 SHAZ_1388_S0338
t000952 SHAZ_1784_S0338
t000953 SHBJ_371_S0180
t000954 SHGE_935_S0538
t000955 SHHG_73_S0439
t000956 SHHG_83_S0439
t000957 SHHX_64_S0680
t000958 SHHX_595_S0680
t000959 SHKZ_164_S0653
t000960 SHLT_62_S0012
t000961 SHTW_616_S0278
t000962 SHTW_724_S0278
t000963 SHTW_728_S0278
t000964 SHTW_1787_S0278
t000965 SHTW_1901_S0278
t000966 SHVF_117_S0417
t000967 SHX2_79_S0417
t000968 SHX2_412_S0417
t000969 SHX8_23_S0653
t000970 SHX8_144_S0653
t000971 SHX8_623_S0653
t000972 SHXF_98_S0018
t000973 SHXF_124_S0018
t000974 SHXF_146_S0018
t000975 SHXF_162_S0018
t000976 SHXF_188_S0018
t000977 SHXX_68_S0187
t000978 SHXX_70_S0187
t000979 SHXX_72_S0187
t000980 SHXX_74_S0187
t000981 SHXX_76_S0187
t000982 SHXX_78_S0187
t000983 SHXX_387_S0187
t000984 SHXX_417_S0187
t000985 SHXX_490_S0187
t000986 SHXX_492_S0187
t000987 SHXX_500_S0187
t000988 SHXX_502_S0187
t000989 SHXX_506_S0187
t000990 SHZP_620_S0267
t000991 SJ3S_321_S0278
t000992 SJ7N_395_S0227
t000993 SJ7N_419_S0227
t000994 SJ7N_425_S0227
t000995 SJ7N_477_S0227
t000996 SJ7N_517_S0227
t000997 SJ7N_521_S0227
t000998 SJ88_444_S0192
t000999 SJB4_2921_S0192
t001000 SJB4_3501_S0192
t001001 SJB4_4523_S0192
t001002 SJB4_4733_S0192
t001003 SJB4_4935_S0192
t001004 SJB4_4953_S0192
t001005 SJB4_4985_S0192
t001006 SJB4_5021_S0192
t001007 SJB4_5223_S0192
t001008 SJDM_186_S0019
t001009 SJDM_533_S0019
t001010 SJDM_575_S0019
t001011 SJDM_585_S0019
t001012 SJDM_630_S0019
t001013 SJDM_672_S0019
t001014 SJE3_383_S0615
t001015 SJE3_561_S0615
t001016 SJG5_258_S0084
t001017 SJG5_374_S0084
t001018 SJG5_499_S0084
t001019 SJG5_521_S0084
t001020 SJG5_542_S0084
t001021 SJG5_546_S0084
t001022 SJG5_550_S0084
t001023 SJH6_1594_S0370
t001024 SJJK_62_S0618
t001025 SJJK_78_S0618
t001026 SJJK_88_S0618
t001027 SJJK_112_S0618
t001028 SJJK_128_S0618
t001029 SJJK_132_S0618
t001030 SJJK_162_S0618
t001031 SJJK_186_S0618
t001032 SJJK_196_S0618
t001033 SJJK_202_S0618
t001034 SJJK_204_S0618
t001035 SJJK_248_S0618
t001036 SJJK_280_S0618
t001037 SJJK_296_S0618
t001038 SJJK_306_S0618
t001039 SJJK_364_S0618
t001040 SJM7_936_S0688
t001041 SJM7_938_S0688
t001042 SJNB_836_S0050
t001043 SJNJ_60_S0142
t001044 SJRX_275_S0392
t001045 SJSC_967_S0439
t001046 SJSC_1054_S0439
t001047 SJTE_107_S0024
t001048 SJTE_109_S0024
t001049 SJTT_165_S0018
t001050 SJTT_357_S0018
t001051 SJU2_18_S0453
t001052 SJU2_100_S0453
t001053 SK39_386_S0180
t001054 SK3P_262_S0653
t001055 SK3P_264_S0653
t001056 SK3P_283_S0653
t001057 SK82_21_S0292
t001058 SK82_99_S0292
t001059 SK82_103_S0292
t001060 SK82_135_S0292
t001061 SK82_137_S0292
t001062 SK82_143_S0292
t001063 SK82_180_S0292
t001064 SK82_359_S0292
t001065 SK8T_562_S0204
t001066 SKDX_503_S0299
t001067 SKDX_1549_S0299
t001068 SKHW_2111_S0328
t001069 SKKB_100_S0612
t001070 SKKB_110_S0612
t001071 SKKB_186_S0612
t001072 SKNF_140_S0015
t001073 SKNF_520_S0015
t001074 SKPP_568_S0202
t001075 SKPP_570_S0202
t001076 SKPP_620_S0202
t001077 SKPP_750_S0202
t001078 SKPP_790_S0202
t001079 SKPP_818_S0202
t001080 SKRC_1498_S0439
t001081 SKRZ_134_S0058
t001082 SKRZ_204_S0058
t001083 SKRZ_230_S0058
t001084 SKRZ_232_S0058
t001085 SKRZ_344_S0058
t001086 SKRZ_552_S0058
t001087 SKRZ_574_S0058
t001088 SKRZ_576_S0058
t001089 SKXA_907_S0618
t001090 SKXA_909_S0618
t001091 SKY7_231_S0653
t001092 SKY7_514_S0653
t001093 SKYQ_84_S0278
t001094 SKYQ_134_S0278
t001095 SKYQ_774_S0278
t001096 SKYQ_953_S0278
t001097 SKYQ_955_S0278
t001098 SL76_297_S0058
t001099 SL76_346_S0058
t001100 SL76_364_S0058
t001101 SLBS_991_S0024
t001102 SLBS_1181_S0024
t001103 SLDB_466_S0041
t001104 SLDB_474_S0041
t001105 SLDB_476_S0041
t001106 SLDB_478_S0041
t001107 SLDD_1_S0439
t001108 SLDD_7_S0439
t001109 SLLC_377_S0439
t001110 SLLC_395_S0439
t001111 SLNB_2272_S0058
t001112 SLNB_2274_S0058
t001113 SLNV_372_S0619
t001114 SLNV_404_S0619
t001115 SLTU_876_S0179
t001116 SM6B_1333_S0058
t001117 SM8P_876_S0173
t001118 SM8P_956_S0173
t001119 SMC2_347_S0202
t001120 SMCW_448_S0281
t001121 SMCW_450_S0281
t001122 SMCW_729_S0281
t001123 SMCW_783_S0281
t001124 SMEB_197_S0239
t001125 SMEB_563_S0239
t001126 SMEG_173_S0036
t001127 SMEG_175_S0036
t001128 SMEG_203_S0036
t001129 SMEG_359_S0036
t001130 SMEG_369_S0036
t001131 SMEG_491_S0036
t001132 SMF5_1_S0653
t001133 SMGY_317_S0436
t001134 SMGY_455_S0436
t001135 SMK3_1781_S0590
t001136 SMKK_128_S0167
t001137 SMKK_153_S0167
t001138 SMKK_164_S0167
t001139 SMKK_192_S0167
t001140 SMKK_198_S0167
t001141 SMKK_212_S0167
t001142 SMKK_231_S0167
t001143 SMKK_272_S0167
t001144 SMKK_331_S0167
t001145 SMKK_350_S0167
t001146 SMKK_354_S0167
t001147 SMM7_168_S0423
t001148 SMME_586_S0084
t001149 SMNV_161_S0202
t001150 SMRV_235_S0405
t001151 SMRV_1931_S0405
t001152 SMRV_2439_S0405
t001153 SMRV_3117_S0405
t001154 SMSW_370_S0203
t001155 SMW8_28_S0255
t001156 SMW8_42_S0255
t001157 SMW8_684_S0255
t001158 SMW8_1066_S0255
t001159 SMW8_1070_S0255
t001160 SMW8_1397_S0255
t001161 SMW8_1772_S0255
t001162 SMW8_1858_S0255
t001163 SMW8_2330_S0255
t001164 SMW8_3325_S0255
t001165 SMW8_4029_S0255
t001166 SMW8_4031_S0255
t001167 SMW8_4035_S0255
t001168 SMW8_4039_S0255
t001169 SMW8_4077_S0255
t001170 SMW8_4079_S0255
t001171 SMW8_4266_S0255
t001172 SMW8_4275_S0255
t001173 SMY5_39_S0439
t001174 SMYJ_79_S0329
t001175 SMYJ_217_S0329
t001176 SMYJ_241_S0329
t001177 SMYJ_359_S0329
t001178 SMYJ_381_S0329
t001179 SMYJ_405_S0329
t001180 SMZV_390_S0336
t001181 SMZV_1582_S0336
t001182 SMZV_1588_S0336
t001183 SMZV_1648_S0336
t001184 SN3D_1949_S0517
t001185 SN4N_662_S0517
t001186 SN4N_892_S0517
t001187 SN4N_1226_S0517
t001188 SN4N_1258_S0517
t001189 SN4N_1266_S0517
t001190 SN4N_1292_S0517
t001191 SN64_2051_S0590
t001192 SN8K_119_S0255
t001193 SN8K_418_S0255
t001194 SN8K_2005_S0255
t001195 SN8K_2013_S0255
t001196 SN8K_2045_S0255
t001197 SN97_273_S0282
t001198 SNAC_798_S0192
t001199 SNAC_910_S0192
t001200 SNAS_175_S0488
t001201 SNCL_5_S0336
t001202 SNCL_13_S0336
t001203 SNCL_15_S0336
t001204 SNCL_139_S0336
t001205 SNDW_323_S0644
t001206 SNJP_2104_S0192
t001207 SNJP_2122_S0192
t001208 SNJP_2168_S0192
t001209 SNJP_2222_S0192
t001210 SNJP_2320_S0192
t001211 SNJP_2528_S0192
t001212 SNJP_2532_S0192
t001213 SNJP_2610_S0192
t001214 SNMA_47_S0421
t001215 SNNG_100_S0518
t001216 SNNG_380_S0518
t001217 SNNG_390_S0518
t001218 SNNG_470_S0518
t001219 SNNG_484_S0518
t001220 SNNG_502_S0518
t001221 SNNG_588_S0518
t001222 SNNG_622_S0518
t001223 SNNG_734_S0518
t001224 SNNG_780_S0518
t001225 SNNG_794_S0518
t001226 SNNG_842_S0518
t001227 SNNG_872_S0518
t001228 SNNG_900_S0518
t001229 SNNG_914_S0518
t001230 SNNG_948_S0518
t001231 SNNG_966_S0518
t001232 SNNG_1078_S0518
t001233 SNNG_1114_S0518
t001234 SNNG_1124_S0518
t001235 SNNG_1273_S0518
t001236 SNNG_1275_S0518
t001237 SNNG_1279_S0518
t001238 SNNG_1281_S0518
t001239 SNNG_1296_S0518
t001240 SNNG_1298_S0518
t001241 SNNG_1300_S0518
t001242 SNNG_1313_S0518
t001243 SNNG_1503_S0518
t001244 SNNG_1509_S0518
t001245 SNNJ_1372_UNKMALE
t001246 SNPA_600_S0328
t001247 SNPA_620_S0328
t001248 SNPP_278_S0653
t001249 SNPP_834_S0653
t001250 SNQB_133_S0320
t001251 SNQB_135_S0320
t001252 SNQB_181_S0320
t001253 SNQB_199_S0320
t001254 SNQB_209_S0320
t001255 SNQB_271_S0320
t001256 SNRQ_559_S0170
t001257 SNRQ_631_S0170
t001258 SNXG_150_S0585
t001259 SNXG_400_S0585
t001260 SNXG_410_S0585
t001261 SNXG_432_S0585
t001262 SNXG_1614_S0585
t001263 SNXG_1893_S0585
t001264 SNXG_1999_S0585
t001265 SNXG_2330_S0585
t001266 SNXG_2350_S0585
t001267 SNXG_2378_S0585
t001268 SNXG_2412_S0585
t001269 SNXL_169_S0282
t001270 SNXL_577_S0282
t001271 SNXL_663_S0282
t001272 SP2X_2044_S0382
t001273 SP2Y_14_S0241
t001274 SP2Y_250_S0241
t001275 SP2Y_2612_S0241
t001276 SP2Y_2648_S0241
t001277 SP2Y_2659_S0241
t001278 SP3F_104_S0511
t001279 SP3F_112_S0511
t001280 SP3Q_97_S0530
t001281 SP3Q_113_S0530
t001282 SP3Q_207_S0530
t001283 SP3Q_645_S0530
t001284 SP45_164_S0653
t001285 SP84_335_S0485
t001286 SP84_456_S0485
t001287 SP84_528_S0485
t001288 SP84_541_S0485
t001289 SPFN_241_S0329
t001290 SPG4_2601_S0454
t001291 SPHJ_793_S0618
t001292 SPHJ_847_S0618
t001293 SPJR_5_S0525
t001294 SPJR_7_S0525
t001295 SPJR_11_S0525
t001296 SPJR_167_S0525
t001297 SPJR_305_S0525
t001298 SPML_538_S0140
t001299 SPML_598_S0140
t001300 SPML_640_S0140
t001301 SPMV_345_S0024
t001302 SPVY_913_S0024
t001303 SPXW_655_S0261
t001304 SQ2C_314_S0037
t001305 SQ2W_245_S0439
t001306 SQ36_595_S0338
t001307 SQ36_680_S0338
t001308 SQ6Z_716_S0328
t001309 SQ93_100_S0392
t001310 SQ93_166_S0392
t001311 SQ9R_87_S0607
t001312 SQ9R_111_S0607
t001313 SQ9R_799_S0607
t001314 SQBK_34_S0653
t001315 SQG4_352_S0623
t001316 SQNA_67_S0417
t001317 SQNA_71_S0417
t001318 SQP2_433_S0084
t001319 SQPN_507_S0104
t001320 SQS3_204_S0015
t001321 SQS3_319_S0015
t001322 SQS3_357_S0015
t001323 SQTU_1421_S0493
t001324 SQWC_19_S0084
t001325 SQWC_25_S0084
t001326 SQWC_47_S0084
t001327 SQWW_159_S0281
t001328 SQWW_233_S0281
t001329 SQWW_315_S0281
t001330 SQWW_443_S0281
t001331 SR3P_120_S0653
t001332 SR3P_129_S0653
t001333 SR3P_169_S0653
t001334 SR82_411_S0202
t001335 SR8V_39_S0610
t001336 SR96_23_S0167
t001337 SR96_83_S0167
t001338 SR96_191_S0167
t001339 SR96_227_S0167
t001340 SRBZ_1_S0238
t001341 SRBZ_19_S0238
t001342 SRBZ_21_S0238
t001343 SRBZ_152_S0238
t001344 SRBZ_168_S0238
t001345 SRBZ_317_S0238
t001346 SRBZ_321_S0238
t001347 SRBZ_451_S0238
t001348 SRBZ_513_S0238
t001349 SRCA_69_S0275
t001350 SRCA_73_S0275
t001351 SRCA_245_S0275
t001352 SRCD_149_S0588
t001353 SRD5_47_S0293
t001354 SRD5_55_S0293
t001355 SRD5_69_S0293
t001356 SRD5_385_S0293
t001357 SRD5_413_S0293
t001358 SRD5_859_S0293
t001359 SRDJ_155_S0247
t001360 SRFV_36_S0253
t001361 SRFV_622_S0253
t001362 SRFV_848_S0253
t001363 SRFV_972_S0253
t001364 SRFV_1148_S0253
t001365 SRGA_278_S0671
t001366 SRKV_262_S0588
t001367 SRKV_284_S0588
t001368 SRRQ_316_S0517
t001369 SRRQ_797_S0517
t001370 SRRS_82_S0441
t001371 SRU7_431_S0588
t001372 SRU7_932_S0588
t001373 SRWD_8_S0680
t001374 SRX4_7_S0439
t001375 SRZT_28_S0367
t001376 SRZT_44_S0367
t001377 SRZT_48_S0367
t001378 ST6R_91_S0517
t001379 ST6R_99_S0517
t001380 ST6R_625_S0517
t001381 STBF_43_S0432
t001382 STEY_23_S0463
t001383 STG7_205_S0202
t001384 STG7_323_S0202
t001385 STG9_914_S0632
t001386 STGP_34_S0202
t001387 STGP_168_S0202
t001388 STK7_65_S0487
t001389 STK7_95_S0487
t001390 STK7_169_S0487
t001391 STK7_217_S0487
t001392 STLZ_1_S0261
t001393 STLZ_103_S0261
t001394 STLZ_373_S0261
t001395 STNE_996_S0530
t001396 STQF_66_S0267
t001397 STQF_68_S0267
t001398 STSS_3_S0084
t001399 STSS_1986_S0084
t001400 STSS_2177_S0084
t001401 STUM_222_S0325
t001402 STV6_152_S0262
t001403 STXT_1034_S0246
t001404 STXT_1390_S0246
t001405 STY2_483_S0202
t001406 STY2_517_S0202
t001407 STZ3_438_S0203
t001408 STZ3_464_S0203
t001409 SU3C_858_S0517
t001410 SU3C_1206_S0517
t001411 SU3C_1210_S0517
t001412 SU3C_1220_S0517
t001413 SU3C_1224_S0517
t001414 SU3C_1226_S0517
t001415 SU3C_1228_S0517
t001416 SU3C_1236_S0517
t001417 SU3C_1456_S0517
t001418 SU6F_235_S0281
t001419 SU6F_687_S0281
t001420 SU82_2151_S0041
t001421 SU8C_1610_S0008
t001422 SU8C_1625_S0008
t001423 SUAB_127_S0179
t001424 SUDM_267_S0623
t001425 SUGJ_143_S0282
t001426 SUGJ_749_S0282
t001427 SUHT_120_S0262
t001428 SUHT_206_S0262
t001429 SUHT_228_S0262
t001430 SUHT_268_S0262
t001431 SUKT_1203_S0058
t001432 SUNM_1039_S0558
t001433 SUNM_1645_S0558
t001434 SUNM_1653_S0558
t001435 SUNM_1677_S0558
t001436 SUNM_1679_S0558
t001437 SUNM_1967_S0558
t001438 SUNM_2017_S0558
t001439 SUNM_2029_S0558
t001440 SUNM_2431_S0558
t001441 SUNR_222_S0041
t001442 SUPV_583_S0618
t001443 SUTB_120_S0330
t001444 SUTB_290_S0330
t001445 SUU4_122_S0456
t001446 SUVL_3263_S0598
t001447 SUVQ_12378_S0198
t001448 SUVS_613_S0525
t001449 SUVS_636_S0525
t001450 SUVS_651_S0525
t001451 SUVS_655_S0525
t001452 SUVS_991_S0525
t001453 SUVS_1007_S0525
t001454 SUVS_1045_S0525
t001455 SUVS_1060_S0525
t001456 SUVS_1099_S0525
t001457 SUVS_1218_S0525
t001458 SUVS_1489_S0525
t001459 SV3M_9_S0619
t001460 SV3M_19_S0619
t001461 SV3M_25_S0619
t001462 SV3M_41_S0619
t001463 SV49_202_S0054
t001464 SV49_207_S0054
t001465 SV49_300_S0054
t001466 SV49_428_S0054
t001467 SV49_563_S0054
t001468 SV49_587_S0054
t001469 SV49_1116_S0054
t001470 SV4W_215_S0439
t001471 SV4W_219_S0439
t001472 SV4W_633_S0439
t001473 SV4W_639_S0439
t001474 SV4W_643_S0439
t001475 SV8E_316_S0520
t001476 SVBB_2907_S0590
t001477 SVBH_55_S0084
t001478 SVBH_107_S0084
t001479 SVBH_850_S0084
t001480 SVC7_864_S0653
t001481 SVCT_189_S0670
t001482 SVCT_250_S0670
t001483 SVD4_1015_S0687
t001484 SVD6_1557_S0319
t001485 SVD6_1584_S0319
t001486 SVD6_1586_S0319
t001487 SVD6_1590_S0319
t001488 SVDM_62_S0290
t001489 SVDM_76_S0290
t001490 SVDM_110_S0290
t001491 SVDM_116_S0290
t001492 SVDM_562_S0290
t001493 SVDM_570_S0290
t001494 SVED_202_S0510
t001495 SVH7_33_S0058
t001496 SVH7_87_S0058
t001497 SVH7_479_S0058
t001498 SVH7_575_S0058
t001499 SVKH_471_S0192
t001500 SVLK_6_S0310
t001501 SVLK_10_S0310
t001502 SVLK_50_S0310
t001503 SVLK_59_S0310
t001504 SVLK_129_S0310
t001505 SVLK_139_S0310
t001506 SVLK_145_S0310
t001507 SVLK_159_S0310
t001508 SVLK_179_S0310
t001509 SVLK_200_S0310
t001510 SVLK_304_S0310
t001511 SVLZ_325_S0686
t001512 SVLZ_377_S0686
t001513 SVNL_825_S0019
t001514 SVNL_928_S0019
t001515 SVNZ_139_S0022
t001516 SVNZ_189_S0022
t001517 SVNZ_193_S0022
t001518 SVPK_27_S0444
t001519 SVR6_288_S0084
t001520 SVR6_300_S0084
t001521 SVR6_685_S0084
t001522 SVR6_977_S0084
t001523 SVR6_2165_S0084
t001524 SVRQ_1168_S0012
t001525 SVVK_113_S0320
t001526 SVVK_1582_S0320
t001527 SVWU_31_S0336
t001528 SVWU_211_S0336
t001529 SVXP_77_S0454
t001530 SVXP_243_S0454
t001531 SVXP_253_S0454
t001532 SVXP_469_S0454
t001533 SVXP_523_S0454
t001534 SVXT_522_S0525
t001535 SVZB_1378_S0192
t001536 SVZB_1386_S0192
t001537 SVZB_1458_S0192
t001538 SVZB_1472_S0192
t001539 SVZB_1477_S0192
t001540 SVZB_1491_S0192
t001541 SVZB_1932_S0192
t001542 SVZB_2079_S0192
t001543 SVZH_756_S0198
t001544 SVZH_900_S0198
t001545 SW6A_631_S0192
t001546 SW6A_1993_S0192
t001547 SW6A_2013_S0192
t001548 SW6A_2019_S0192
t001549 SW6A_2033_S0192
t001550 SW6A_2037_S0192
t001551 SW6A_2045_S0192
t001552 SW6K_1960_S0012
t001553 SW98_93_S0002
t001554 SW98_594_S0002
t001555 SW98_598_S0002
t001556 SW98_906_S0002
t001557 SWF6_729_S0328
t001558 SWFJ_641_S0025
t001559 SWFJ_1087_S0025
t001560 SWFJ_1089_S0025
t001561 SWFJ_1103_S0025
t001562 SWHR_129_S0420
t001563 SWLS_17_S0520
t001564 SWLS_19_S0520
t001565 SWLS_21_S0520
t001566 SWLS_49_S0520
t001567 SWPV_559_S0369
t001568 SWPV_561_S0369
t001569 SWPV_589_S0369
t001570 SWPV_1066_S0369
t001571 SWPV_1676_S0369
t001572 SWSX_1121_S0047
t001573 SWTX_580_S0152
t001574 SWTX_906_S0152
t001575 SWWZ_117_S0328
t001576 SX3B_399_S0468
t001577 SXAZ_51_S0008
t001578 SXBE_132_S0022
t001579 SXC6_34_S0653
t001580 SXC6_112_S0653
t001581 SXCB_101_S0328
t001582 SXCB_109_S0328
t001583 SXCB_147_S0328
t001584 SXCB_427_S0328
t001585 SXCB_625_S0328
t001586 SXCB_1362_S0328
t001587 SXCB_1526_S0328
t001588 SXCU_137_S0167
t001589 SXCW_235_S0041
t001590 SXDQ_990_S0369
t001591 SXDQ_1129_S0369
t001592 SXDQ_1238_S0369
t001593 SXDQ_1468_S0369
t001594 SXEV_1248_S0202
t001595 SXJP_98_S0439
t001596 SXJP_126_S0439
t001597 SXJW_209_S0355
t001598 SXJW_211_S0355
t001599 SXJW_215_S0355
t001600 SXJW_243_S0355
t001601 SXK4_15_S0585
t001602 SXK4_183_S0585
t001603 SXK4_187_S0585
t001604 SXK4_197_S0585
t001605 SXK4_201_S0585
t001606 SXK4_313_S0585
t001607 SXK4_602_S0585
t001608 SXK4_668_S0585
t001609 SXK4_698_S0585
t001610 SXK4_784_S0585
t001611 SXK4_786_S0585
t001612 SXK4_788_S0585
t001613 SXK4_800_S0585
t001614 SXK4_802_S0585
t001615 SXLC_1491_S0663
t001616 SXLC_1556_S0663
t001617 SXNE_144_S0663
t001618 SXNE_1139_S0663
t001619 SXR9_643_S0405
t001620 SXWH_612_S0084
t001621 SXWH_757_S0084
t001622 SXWR_126_S0278
t001623 SXWR_435_S0278
t001624 SXWR_569_S0278
t001625 SYED_591_S0338
t001626 SYHW_767_S0012
t001627 SYNT_2_S0272
t001628 SYNT_46_S0272
t001629 SYNT_56_S0272
t001630 SYNT_83_S0272
t001631 SYNT_120_S0272
t001632 SYNT_141_S0272
t001633 SYNT_224_S0272
t001634 SYTD_1077_S0084
t001635 SYUR_95_S0644
t001636 SYUR_141_S0644
t001637 SYUR_227_S0644
t001638 SYUR_507_S0644
t001639 SYUR_509_S0644
t001640 SYUR_531_S0644
t001641 SYWB_416_S0417
t001642 SYWB_432_S0417
t001643 SYX3_1_S0282
t001644 SYX3_45_S0282
t001645 SYX3_47_S0282
t001646 SYX3_57_S0282
t001647 SYX3_59_S0282
t001648 SYX3_71_S0282
t001649 SYX3_77_S0282
t001650 SYX3_87_S0282
t001651 SYX3_91_S0282
t001652 SYX3_181_S0282
t001653 SYX3_183_S0282
t001654 SYX3_285_S0282
t001655 SYX3_289_S0282
t001656 SYX3_365_S0282
t001657 SYX3_455_S0282
t001658 SYX3_515_S0282
t001659 SYX3_519_S0282
t001660 SYX3_554_S0282
t001661 SYX3_560_S0282
t001662 SYX3_588_S0282
t001663 SYXU_154_S0202
t001664 SZ7Y_300_S0041
t001665 SZ7Y_729_S0041
t001666 SZ7Y_751_S0041
t001667 SZ7Y_767_S0041
t001668 SZ7Y_785_S0041
t001669 SZ94_68_S0653
t001670 SZ94_74_S0653
t001671 SZ94_490_S0653
t001672 SZ94_498_S0653
t001673 SZ95_682_S0202
t001674 SZ95_688_S0202
t001675 SZAK_1388_S0587
t001676 SZAK_1390_S0587
t001677 SZAP_159_S0261
t001678 SZAP_998_S0261
t001679 SZBD_251_S0272
t001680 SZBD_253_S0272
t001681 SZBD_266_S0272
t001682 SZBD_291_S0272
t001683 SZBD_385_S0272
t001684 SZBD_521_S0272
t001685 SZBD_531_S0272
t001686 SZBN_17_S0681
t001687 SZDA_646_S0104
t001688 SZJ3_873_S0308
t001689 SZJ3_1110_S0308
t001690 SZJ5_71_S0072
t001691 SZJ7_498_S0012
t001692 SZJ7_839_S0012
t001693 SZKE_298_S0624
t001694 SZLE_9_S0509
t001695 SZNA_294_S0520
t001696 SZNG_1904_S0012
t001697 SZP6_156_S0520
t001698 SZP6_167_S0520
t001699 SZP6_418_S0520
t001700 SZP6_521_S0520
t001701 SZPS_385_S0179
t001702 SZRJ_265_S0104
t001703 SZT4_215_S0486
t001704 SZVC_172_S0325
t001705 SZXQ_28_S0058
